,index,Busin_and_Indus
0,2018-03-31,
1,2018-04-30,0.03188219835496353
2,2018-05-31,-0.08254696149021523
3,2018-06-30,-0.02887838898262718
4,2018-07-31,0.002488026375175645
5,2018-08-31,0.06507112597785492
6,2018-09-30,0.03967371637286754
7,2018-10-31,-0.030062937268314216
8,2018-11-30,-0.05396052921121619
9,2018-12-31,-0.04275726123982748
10,2019-01-31,0.13708200443965213
11,2019-02-28,0.030051821183819438
12,2019-03-31,-0.014248476108754904
13,2019-04-30,0.00043424030614680476
14,2019-05-31,-0.07437543398624158
15,2019-06-30,-0.006305436150678245
16,2019-07-31,0.02071737848525923
17,2019-08-31,0.07420099299328542
18,2019-09-30,0.03718371190842529
19,2019-10-31,-0.0512488527551731
20,2019-11-30,-0.013156045674881489
21,2019-12-31,-0.07624908626692617
22,2020-01-31,0.14675139601260834
23,2020-02-29,0.05503333610452432
24,2020-03-31,-0.131394642716972
25,2020-04-30,0.012394756594145129
26,2020-05-31,-0.015503056995020414
27,2020-06-30,0.03193418485652888
28,2020-07-31,0.04224867088123885
29,2020-08-31,0.009167981692326688
30,2020-09-30,0.00039190910540698454
31,2020-10-31,-0.02930494336830347
32,2020-11-30,-0.08711256218895425
33,2020-12-31,-0.03782821526156954
34,2021-01-31,0.11924360128894307
35,2021-02-28,0.05268586456701185
36,2021-03-31,-0.09179156323445703
37,2021-04-30,0.08351701718078419
38,2021-05-31,0.028631021719937477
39,2021-06-30,-0.04940547916563898
40,2021-07-31,-0.023230081446322992
41,2021-08-31,0.05825712347794565
42,2021-09-30,0.01903914633524839
43,2021-10-31,0.03244413115421674
44,2021-11-30,-0.07313893314578068
45,2021-12-31,-0.12128519287350814
46,2022-01-31,0.10207096924545112
47,2022-02-28,0.08897300977603373
48,2022-03-31,0.004587771973304955
49,2022-04-30,0.033982209877508884
50,2022-05-31,-0.07495650489613392
51,2022-06-30,-0.015200859299491665
52,2022-07-31,0.027741932836872873
53,2022-08-31,0.05820599487884004
54,2022-09-30,-0.01592038488531833
55,2022-10-31,0.00939723961071981
56,2022-11-30,-0.0868990250631424
57,2022-12-31,0.0038443052220511476
58,2023-01-31,0.09726194975626612
59,2023-02-28,0.019256908893738434
