index,Busin_and_Indus
2018-03-31,937.1951120491166
2018-04-30,967.0749525087689
2018-05-31,887.2458536458757
2018-06-30,861.623622761067
2018-07-31,863.7673650599709
2018-08-31,919.9736800873479
2018-09-30,956.4724549416366
2018-10-31,927.7180835298558
2018-11-30,877.6579247837694
2018-12-31,840.131675614585
2019-01-31,955.2986097010759
2019-02-28,984.0070726969639
2019-03-31,969.9864714307954
2019-04-30,970.4076786531078
2019-05-31,898.2331864097016
2019-06-30,892.569434404375
2019-07-31,911.0611332013042
2019-08-31,978.662773962429
2019-09-30,1015.0530886049485
2019-10-31,963.0327823283496
2019-11-30,950.3630790576295
2019-12-31,877.8987626576629
2020-01-31,1006.7316316354165
2020-02-29,1062.1354318862645
2020-03-31,922.5765262965318
2020-04-30,934.0116377794494
2020-05-31,919.5316021249422
2020-06-30,948.8960942886204
2020-07-31,988.9856930767132
2020-08-31,998.0526958048137
2020-09-30,998.4438417439754
2020-10-31,969.184501505237
2020-11-30,884.7563563452914
2020-12-31,851.2876024434197
2021-01-31,952.7982018914033
2021-02-28,1002.997198915946
2021-03-31,910.9305181076696
2021-04-30,987.0087178389684
2021-05-31,1015.2677858771838
2021-06-30,965.107994434484
2021-07-31,942.6884571192736
2021-08-31,997.6067749669052
2021-09-30,1016.6003563405353
2021-10-31,1049.583071633071
2021-11-30,972.8176855259568
2021-12-31,854.8293049061813
2022-01-31,942.0825605973705
2022-02-28,1025.9024814712313
2022-03-31,1030.609088123069
2022-04-30,1065.631462457335
2022-05-31,985.7554525241774
2022-06-30,970.7711225866506
2022-07-31,997.7021898694253
2022-08-31,1055.7744384235725
2022-09-30,1038.9661030117884
2022-10-31,1048.729516429206
2022-11-30,957.5959438965672
2022-12-31,961.2772349843037
2023-01-31,1054.7729331151895
2023-02-28,1075.08459939177
