index,Health
2018-03-31,534.5834319931987
2018-04-30,540.8378176513813
2018-05-31,515.6456326557429
2018-06-30,519.0447090420237
2018-07-31,524.8334168777634
2018-08-31,538.2792181044658
2018-09-30,518.8548544494721
2018-10-31,526.4205309843236
2018-11-30,478.2012345763784
2018-12-31,459.4712516005105
2019-01-31,573.1559340210443
2019-02-28,561.4975420987109
2019-03-31,567.8851216767409
2019-04-30,539.5696259124433
2019-05-31,522.7739589169001
2019-06-30,518.1886702513173
2019-07-31,543.299523456261
2019-08-31,542.7982705833169
2019-09-30,546.2142272368353
2019-10-31,526.7987445926107
2019-11-30,516.0359826101486
2019-12-31,480.6921042352724
2020-01-31,593.5779207357474
2020-02-29,587.7910672765596
2020-03-31,568.8293669596669
2020-04-30,495.1318003008922
2020-05-31,500.9575024150954
2020-06-30,524.5027146551192
2020-07-31,556.7613676680744
2020-08-31,522.8626870634384
2020-09-30,524.0660780923062
2020-10-31,525.9340172205245
2020-11-30,480.08809570883966
2020-12-31,458.0977491423861
2021-01-31,572.7223770047315
2021-02-28,565.220193651126
2021-03-31,559.9089660354696
2021-04-30,548.0052519118308
2021-05-31,522.5623336754404
2021-06-30,499.62226928815005
2021-07-31,524.3213614714892
2021-08-31,559.044603169426
2021-09-30,547.1036248308365
2021-10-31,550.4408502937066
2021-11-30,521.9218553123003
2021-12-31,508.0389345437171
2022-01-31,586.8347718069683
2022-02-28,596.7669202940301
2022-03-31,584.6967216140843
2022-04-30,585.2358416642519
2022-05-31,568.8516478167242
2022-06-30,553.6952578939809
2022-07-31,564.5724744648197
2022-08-31,585.376897206251
2022-09-30,570.9956730635349
2022-10-31,583.9420517986771
2022-11-30,539.7081363027668
2022-12-31,511.3597901002507
2023-01-31,604.3866459189915
2023-02-28,614.6485438271443
