index,Travel
2018-03-31,881.7686494658706
2018-04-30,846.2346124776357
2018-05-31,917.4712585034013
2018-06-30,1048.8421799734806
2018-07-31,1064.1185779911623
2018-08-31,963.5436639186638
2018-09-30,803.9106752166764
2018-10-31,739.3683614759225
2018-11-30,711.7753751747086
2018-12-31,776.4907716036179
2019-01-31,807.1500626419231
2019-02-28,869.8135720012403
2019-03-31,958.6658775680391
2019-04-30,834.1473364598364
2019-05-31,957.4706473335506
2019-06-30,1101.5665248543905
2019-07-31,1107.0488533372954
2019-08-31,982.1068815745446
2019-09-30,939.4959630636374
2019-10-31,850.2146168382872
2019-11-30,856.7976071527263
2019-12-31,979.0393314267296
2020-01-31,1080.9772441022483
2020-02-29,1043.6980695343327
2020-03-31,722.5043562086552
2020-04-30,463.54814182194616
2020-05-31,638.905881123076
2020-06-30,839.2328873654725
2020-07-31,811.896875
2020-08-31,784.3897181921077
2020-09-30,736.7570358187135
2020-10-31,781.0654927919444
2020-11-30,651.1863978230991
2020-12-31,714.19015064836
2021-01-31,738.8838950442012
2021-02-28,898.1968375854403
2021-03-31,1154.202344558028
2021-04-30,1244.1638768208536
2021-05-31,1232.9649870314754
2021-06-30,1284.931796514882
2021-07-31,1272.4443093923785
2021-08-31,1105.3314749300953
2021-09-30,1013.0455303460011
2021-10-31,975.8556739737227
2021-11-30,900.4770399806702
2021-12-31,855.4793371916217
2022-01-31,755.3357694056092
2022-02-28,914.1904091279091
2022-03-31,958.0543644147072
2022-04-30,905.4088199549994
2022-05-31,909.8512461891372
2022-06-30,1023.5560736977225
2022-07-31,1041.0355013672224
2022-08-31,960.6475531409835
2022-09-30,829.2464543338705
2022-10-31,769.1893502707456
2022-11-30,723.7455492421765
2022-12-31,790.7496560055646
2023-01-31,825.5986228554873
2023-02-28,829.3261411438025
