Year,Month,Annual Average Inflation
2018,January,7.79
2018,February,7.4
2018,March,6.89
2018,April,6.24
2018,May,5.61
2018,June,5.2
2018,July,4.95
2018,August,4.63
2018,September,4.53
2018,October,4.53
2018,November,4.59
2018,December,4.69
2019,January,4.68
2019,February,4.65
2019,March,4.67
2019,April,4.91
2019,April,4.91
2019,May,5.04
2019,June,5.16
2019,July,5.32
2019,August,5.4
2019,September,5.24
2019,October,5.19
2019,November,5.19
2019,December,5.2
2020,January,5.29
2020,February,5.72
2020,March,5.84
2020,April,6.03
2020,May,6.18
2020,June,6.16
2020,July,6.01
2020,August,5.87
2020,September,5.79
2020,October,5.67
2020,November,5.53
2020,December,5.41
2021,January,5.74
2021,February,5.16
2021,March,5.17
2021,April,4.66
2021,May,5.2
2021,June,5.35
2021,July,5.53
2021,August,5.71
2021,September,5.35
2021,October,6.07
2021,November,6.1
2021,December,5.62
2022,January,6.08
2022,February,6.23
2022,March,6.29
2022,April,6.05
2022,May,6.16
2022,June,6.29
2022,July,6.45
2022,August,6.61
2022,September,6.81
2022,October,7.48
2022,November,7.38
2022,December,7.66
2023,January,7.95
