Year,Month,All Items (Year on Change)
2018,1,15.13
2018,2,14.33
2018,3,13.34
2018,4,12.48
2018,5,11.61
2018,6,11.23
2018,7,11.14
2018,8,11.23
2018,9,11.28
2018,10,11.26
2018,11,11.28
2018,12,11.44
2019,1,11.37
2019,2,11.31
2019,3,11.25
2019,4,11.37
2019,5,11.4
2019,6,11.22
2019,7,11.08
2019,8,11.02
2019,9,11.24
2019,10,11.61
2019,11,11.85
2019,12,11.98
2020,1,12.13
2020,2,12.2
2020,3,12.26
2020,4,12.34
2020,5,12.4
2020,6,12.56
2020,7,12.82
2020,8,13.22
2020,9,13.71
2020,10,14.23
2020,11,14.89
2020,12,15.75
2021,1,16.47
2021,2,17.33
2021,3,18.17
2021,4,18.12
2021,5,17.93
2021,6,17.75
2021,7,17.38
2021,8,17.01
2021,9,16.63
2021,10,15.99
2021,11,15.4
2021,12,15.63
2022,1,15.6
2022,2,15.7
2022,3,15.92
2022,4,16.82
2022,5,17.71
2022,6,18.6
2022,7,19.64
2022,8,20.52
2022,9,20.77
2022,10,21.09
2022,11,21.47
2022,12,21.34
2023,1,21.82
